playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Skin,spotify:album:2lBRNqB9iOJZFNu1JOSUBW,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,1,233337,Never Be Like You,3,true,spotify:track:15O20RQyWJgKrkHID9ynT9,https://api.spotify.com/v1/tracks/15O20RQyWJgKrkHID9ynT9
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Skin,spotify:album:2lBRNqB9iOJZFNu1JOSUBW,kai,spotify:artist:6xHUXzrfhFgnIv86EBR3Ml,1,233337,Never Be Like You,3,true,spotify:track:15O20RQyWJgKrkHID9ynT9,https://api.spotify.com/v1/tracks/15O20RQyWJgKrkHID9ynT9
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Adore,spotify:album:4XW4uoRtDulaUs4Qb81UDx,Amy Shark,spotify:artist:2DORQjKJVYZMx9uu82UGtT,1,184999,Adore,56,false,spotify:track:1rPCgtaIF0CyKRgAwhtpbF,https://api.spotify.com/v1/tracks/1rPCgtaIF0CyKRgAwhtpbF
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Jungle (Radio Edit),spotify:album:5ESkItmCb3BCPNpCZRBGjf,Tash Sultana,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf,1,236876,Jungle (Radio Edit),39,false,spotify:track:1NIvNSrB824aeBmCHjyFxR,https://api.spotify.com/v1/tracks/1NIvNSrB824aeBmCHjyFxR
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,"Drinking From The Sun, Walking Under Stars Restrung",spotify:album:4ijUWjOHZ5VnUADcOsL1vS,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,239280,1955,65,false,spotify:track:6oSmp7qnvAxUXeUKhl67a6,https://api.spotify.com/v1/tracks/6oSmp7qnvAxUXeUKhl67a6
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,"Drinking From The Sun, Walking Under Stars Restrung",spotify:album:4ijUWjOHZ5VnUADcOsL1vS,Montaigne,spotify:artist:1ZcnsSFqWusWlRK01vKE6b,1,239280,1955,65,false,spotify:track:6oSmp7qnvAxUXeUKhl67a6,https://api.spotify.com/v1/tracks/6oSmp7qnvAxUXeUKhl67a6
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,"Drinking From The Sun, Walking Under Stars Restrung",spotify:album:4ijUWjOHZ5VnUADcOsL1vS,Tom Thum,spotify:artist:41Sy5j6hSOXJ6Pl1yR296B,1,239280,1955,65,false,spotify:track:6oSmp7qnvAxUXeUKhl67a6,https://api.spotify.com/v1/tracks/6oSmp7qnvAxUXeUKhl67a6
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,"""Awaken, My Love!""",spotify:album:6weZgryNxv4y8tKBdg68je,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,1,326933,Redbone,1,true,spotify:track:1xb5aS8n5nOlX5JHNXsPQE,https://api.spotify.com/v1/tracks/1xb5aS8n5nOlX5JHNXsPQE
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Believe (triple j Like A Version) [Cover Version],spotify:album:21R4nadGPkP4EwqJVBOnSQ,DMA'S,spotify:artist:1iUTUix5kea176M0uJTsh4,1,197594,Believe (triple j Like A Version) - Cover Version,0,false,spotify:track:76aAaIv5bS8HQJVJ1cc8Ge,https://api.spotify.com/v1/tracks/76aAaIv5bS8HQJVJ1cc8Ge
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Two Degrees,spotify:album:4MzuH8NMoERebcxL4x9EdR,Illy,spotify:artist:6NFyaN9PMCDZ3LKxGwHAXt,1,255889,Papercuts (feat. Vera Blue),52,false,spotify:track:6vXHaWpqkbuvzIDvR3LnKd,https://api.spotify.com/v1/tracks/6vXHaWpqkbuvzIDvR3LnKd
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Two Degrees,spotify:album:4MzuH8NMoERebcxL4x9EdR,Vera Blue,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,1,255889,Papercuts (feat. Vera Blue),52,false,spotify:track:6vXHaWpqkbuvzIDvR3LnKd,https://api.spotify.com/v1/tracks/6vXHaWpqkbuvzIDvR3LnKd
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Skin,spotify:album:2lBRNqB9iOJZFNu1JOSUBW,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,1,262521,Say It,1,true,spotify:track:6vnDoUOHTiVB5DvX18tJon,https://api.spotify.com/v1/tracks/6vnDoUOHTiVB5DvX18tJon
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Skin,spotify:album:2lBRNqB9iOJZFNu1JOSUBW,Tove Lo,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,1,262521,Say It,1,true,spotify:track:6vnDoUOHTiVB5DvX18tJon,https://api.spotify.com/v1/tracks/6vnDoUOHTiVB5DvX18tJon
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Stranger (feat. Elliphant),spotify:album:3rYMuQ0Ix2efxlGmtZPCfn,Peking Duk,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,1,206393,Stranger (feat. Elliphant),57,false,spotify:track:0jVPEBd4wyHupkTHwzQRyc,https://api.spotify.com/v1/tracks/0jVPEBd4wyHupkTHwzQRyc
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Stranger (feat. Elliphant),spotify:album:3rYMuQ0Ix2efxlGmtZPCfn,Elliphant,spotify:artist:134GdR5tUtxJrf8cpsfpyY,1,206393,Stranger (feat. Elliphant),57,false,spotify:track:0jVPEBd4wyHupkTHwzQRyc,https://api.spotify.com/v1/tracks/0jVPEBd4wyHupkTHwzQRyc
