playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,194088,7,1,4,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,0.562,135.128,spotify:track:2Fxmhks0bxGSBdJ92vM42m
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,231663,0,1,3,0.357,0.574,0.612,0,0.158,-4.741,0.0781,0.368,136.046,spotify:track:2zoNNEAyPK2OGDfajardlY
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,190953,7,1,4,0.202,0.624,0.589,0.00002,0.0974,-6.799,0.0302,0.286,115.09,spotify:track:4H24vduqzowuXiZ06CidCr
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,209755,6,0,4,0.688,0.825,0.593,0.000161,0.17,-6.401,0.0988,0.54,98.078,spotify:track:1rgnBhdG2JDFTbYkYRZAku
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,269686,10,1,4,0.000491,0.228,0.919,0.0000324,0.0878,-7.953,0.317,0.696,176.192,spotify:track:5FI3HtW6HGrQ0LCOBMbNo3
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,220627,8,0,4,0.0681,0.704,0.683,0,0.166,-4.536,0.0412,0.71,93.959,spotify:track:5Y7N4lIY5G1zX3miUBJLLg
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,223234,3,0,4,0.421,0.687,0.708,0.242,0.213,-8.133,0.0891,0.89,152.937,spotify:track:4SRtBFocTtcaWP3etJb7GK
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,256582,9,0,4,0.00166,0.642,0.887,0.0000273,0.0906,-4.566,0.0563,0.246,127.062,spotify:track:3yXgttblOo006gd4eGOvw1
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,192467,1,1,4,0.0186,0.673,0.849,0.000274,0.116,-5.242,0.0544,0.375,148.002,spotify:track:1c5iUY7Zg1SxtROg1yr5ad
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,223387,11,1,4,0.126,0.698,0.789,0,0.0768,-5.736,0.203,0.814,99.83,spotify:track:4c2cdWv3GLKoP12tY0OzZl
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,215280,0,1,4,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,0.553,120.042,spotify:track:21jGcNKet2qwijlDFuPiPb
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,214641,7,1,4,0.00433,0.634,0.898,0,0.332,-4.265,0.0996,0.778,120.972,spotify:track:3zd71pqDjqgaO2RluRBVgI
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,253066,0,1,4,0.0436,0.6,0.734,0.0148,0.0941,-7.619,0.066,0.695,93.016,spotify:track:0Ma58HrmhNi0UrOCnAXXBt
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,178369,9,1,4,0.331,0.777,0.744,0.0073,0.088,-7.42,0.204,0.654,94.019,spotify:track:0bGH7ezs7WdDwpqnsvGf1z
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,200756,9,1,4,0.44,0.485,0.461,0,0.232,-5.646,0.0444,0.324,87.009,spotify:track:2grAr8pWMuLWn8ZYEE9wDV
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,245426,6,0,4,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,0.243,120.006,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,215308,11,0,4,0.0138,0.621,0.644,0,0.0703,-7.291,0.0269,0.724,112.049,spotify:track:2BrsEZqObLdNQEh6degzqS
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,274294,0,0,4,0.0476,0.598,0.71,0.0000177,0.1,-6.839,0.0272,0.726,97.976,spotify:track:3O8X1DE9btbzy4UH9cSX9a
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,180147,7,1,4,0.0863,0.801,0.589,0,0.162,-5.157,0.0485,0.58,116.934,spotify:track:23TPP1eeElFfvYVznskwCY
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,259859,4,1,4,0.00812,0.504,0.748,0,0.173,-6.032,0.0311,0.371,119.008,spotify:track:4btMH7yHiugUpIpKLvDLFa
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,145840,11,1,4,0.00639,0.549,0.953,0.0000215,0.328,-6.29,0.0423,0.836,96.901,spotify:track:4AvqbWlfQPoUlr6BdPfu1I
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,213507,5,1,4,0.0875,0.683,0.42,0,0.225,-6.51,0.0542,0.469,128.621,spotify:track:1YlulsUKDduOmC7WxvXYPW
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,190067,9,1,4,0.23,0.554,0.498,0.00000598,0.795,-8.866,0.0685,0.413,79.635,spotify:track:5hVghJ4KaYES3BFUATCYn0
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,233467,4,0,4,0.0617,0.557,0.747,0.00248,0.122,-4.329,0.0261,0.672,91.001,spotify:track:65wl0TYoyrBFJtotwJiDHl
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,192613,2,0,4,0.285,0.836,0.681,0,0.0729,-3.793,0.0434,0.854,81.554,spotify:track:4Ve0Jx7MXjU4aPrFHJRZK7
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,193450,2,1,4,0.738,0.817,0.375,0.00876,0.104,-10.21,0.152,0.495,92.472,spotify:track:0vHmuAr3iAuGBAqMmraa05
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,196267,8,1,4,0.13,0.682,0.653,0.00116,0.129,-6.062,0.339,0.428,188.115,spotify:track:44ZJ4hLD5onikKsVLQaILr
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,195145,7,1,4,0.00611,0.767,0.889,0,0.402,-2.988,0.0963,0.843,119.93,spotify:track:4ruPt3SdLfIPabvMu8W5RR
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,152913,10,0,4,0.0404,0.677,0.744,0.00016,0.074,-6.806,0.0295,0.631,124.08,spotify:track:1DFD5Fotzgn6yYXkYsKiGs
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,223910,1,0,4,0.288,0.628,0.668,0,0.622,-5.935,0.263,0.347,138.865,spotify:track:3Y8JSCYjFznthCYb5HZ8lW
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,181608,9,1,4,0.000307,0.424,0.83,0.000717,0.36,-5.298,0.028,0.544,101.596,spotify:track:4ja8f7cLqln77RZscRaMqI
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,238180,4,1,4,0.264,0.637,0.605,0.228,0.231,-8.681,0.0325,0.436,110.077,spotify:track:3TagnFgHBtDptVaDGuzH3a
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,185000,9,0,4,0.0446,0.78,0.938,0.0977,0.091,-6.269,0.0491,0.502,125.031,spotify:track:4KrATQEoEbKAAY7j0kMDBl
