playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,218067,0,0,4,0.416,0.656,0.61,0.000172,0.245,-7.894,0.171,0.52,140.058,spotify:track:7bliRZuMFa2JmUzzNd62kk
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,228000,0,0,4,0.00129,0.525,0.803,0.000868,0.29,-4.052,0.0492,0.383,100.094,spotify:track:74ciVAMC3GuSkEVTLIIqBS
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,217720,3,1,4,0.629,0.794,0.81,0.00000173,0.0888,-7.963,0.0422,0.802,125.252,spotify:track:6myDPrp86x4Lhyp5aqU0EV
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,313684,11,1,4,0.427,0.885,0.581,0.000204,0.0759,-8.813,0.0378,0.728,114.016,spotify:track:2jiPHbFX5XM8TjaTfYJ0eo
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,208121,6,0,4,0.00877,0.486,0.802,0,0.11,-3.211,0.0517,0.423,97.146,spotify:track:2SrvRFcgZfIhoRBkdDtUfv
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,269667,0,1,4,0.00801,0.856,0.609,0.0000815,0.0344,-7.223,0.0824,0.928,114.988,spotify:track:32OlwWuMpZ6b0aN2RZOeMS
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,285256,1,1,4,0.397,0.502,0.507,0.000744,0.151,-9.296,0.0707,0.21,139.931,spotify:track:5Xdm7q8wd3g7B48Apnzjyd
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,365382,1,1,4,0.348,0.785,0.382,0.344,0.0882,-13.033,0.0764,0.508,99.983,spotify:track:6M4ASXIFNByvW4Fwz84bTN
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,216120,1,1,4,0.0163,0.286,0.784,0.0000648,0.0713,-2.873,0.0749,0.618,173.793,spotify:track:2i8EtsynIudUUaLPUkO6rJ
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,212679,1,0,3,0.277,0.705,0.473,0.0037,0.107,-11.151,0.028,0.425,100.005,spotify:track:54d8TCChW4qqRuNFVvhAkH
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,223485,9,0,4,0.00872,0.863,0.475,0.116,0.122,-7.195,0.0488,0.596,124.964,spotify:track:0zL9dieoCcjBWV01y73Cj1
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,289307,11,0,4,0.736,0.487,0.369,0.0000375,0.0925,-13.424,0.0406,0.106,183.114,spotify:track:1gk3FhAV07q9Jg77UxnVjX
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,223640,7,1,1,0.047,0.595,0.723,0.0286,0.0995,-8.256,0.0349,0.272,108.043,spotify:track:7lrDNvF3TwuC5vC2fGiMjy
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,216000,2,1,4,0.614,0.543,0.707,0.0414,0.118,-7.636,0.07,0.515,143.915,spotify:track:1FzTY3B78pYH6vJqci5qIX
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,213937,0,1,4,0.607,0.574,0.547,0.00000209,0.0762,-8.134,0.0435,0.236,118.14,spotify:track:3o8EajNtKTFDnoJIYLiY6w
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,173627,3,1,4,0.462,0.697,0.877,0.00943,0.083,-4.465,0.0462,0.802,101.99,spotify:track:3ctLY76Pygth1ggcsiEATo
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,292467,2,0,4,0.329,0.821,0.586,0.0000033,0.264,-6.284,0.0515,0.43,116,spotify:track:69kz02an0zTBl2NQdshqnB
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,232507,1,1,4,0.103,0.585,0.61,0.000314,0.113,-8.388,0.0353,0.0597,94.969,spotify:track:0Nf53RDPZEjFrQE4B5n6Vf
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,225800,4,1,4,0.0216,0.567,0.692,0.00000275,0.11,-5.467,0.0563,0.156,122,spotify:track:60UQUTjx171U16a2tijPZB
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,218903,0,1,4,0.00458,0.66,0.849,0.00011,0.0877,-5.97,0.0293,0.836,102.005,spotify:track:6jj5kO7tFT3ir8WbbVO0iU
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,192147,10,1,4,0.306,0.701,0.435,0,0.131,-7.005,0.0384,0.849,109.399,spotify:track:64DGG5IgegZtkZiUgDRRj9
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,239127,5,0,4,0.000133,0.386,0.943,0,0.0928,-3.033,0.185,0.402,148.008,spotify:track:6RcsAN8XF5KX6mMh6dum8e
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,226440,10,1,4,0.136,0.498,0.721,0.7,0.0933,-5.232,0.0282,0.589,140.027,spotify:track:41X9To0bQ4fpoSRri4NHiI
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,184459,7,1,4,0.427,0.591,0.528,0.0321,0.117,-6.825,0.0286,0.388,78.997,spotify:track:7nrPyQ37J2BO24uoleVp35
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,184800,4,1,4,0.000155,0.421,0.88,0,0.413,-3.229,0.0846,0.66,178.069,spotify:track:2y5ojZLPbpO1zVLbsrEsS7
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,299707,7,1,4,0.785,0.6,0.413,0.0289,0.109,-9.572,0.0258,0.0741,93.618,spotify:track:0V3kmGRw4dqVHUmKxfR4ud
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,249740,5,0,4,0.00101,0.597,0.696,0.0735,0.255,-6.196,0.0278,0.397,107.96,spotify:track:4PvD06Pmbm2rHG2JjSlElF
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,201468,5,1,4,0.144,0.717,0.888,0,0.0711,-4.519,0.107,0.72,129.907,spotify:track:61vNcguCIlCL5iedPVu1gj
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,207565,5,1,4,0.00434,0.498,0.657,0.000384,0.11,-6.66,0.043,0.796,176.039,spotify:track:71l93iUkmRg9jpeAgjN3LU
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,209893,0,1,4,0.0388,0.754,0.88,0.00000515,0.353,-5.449,0.11,0.551,102.977,spotify:track:1C5i4TNNQYHKBaV1fOBxDp
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,252013,0,1,4,0.113,0.708,0.565,0.0000135,0.542,-7.412,0.03,0.431,97.896,spotify:track:5teCpJlMjeP4ycz9LmCA8D
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,256760,6,0,4,0.194,0.527,0.591,0.0194,0.0907,-7.664,0.0396,0.461,123.167,spotify:track:5Y6nVaayzitvsD5F7nr3DV
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,194549,11,1,4,0.0357,0.711,0.811,0.00868,0.246,-4.72,0.0377,0.961,140.01,spotify:track:0NEgLKReA7npnfiJeUHP8q
